Division,District,Name of the College,Name of the Department,No. of MBBS seats,Total Beds,Total Units,UG Professor ,UG  Associate Prof. / Reader,UG Assistant Professor / Lecturer,UG Sr. Residents ,UG Tutors/ Demonstrators,No of PG Seats,PG Professor ,PG Associate Prof. / Reader,PG Assistant Professor / Lecturer,PG Sr. Residents ,PG Tutors/ Demonstrators,Total Annual Intake of PG Seats,Professor (Compliance/ Non Compliance),Associate Prof. / Reader (Compliance/ Non Compliance),Assistant Professor / Lecturer (Compliance/ Non Compliance),Sr. Residents (Compliance/ Non Compliance),Tutors/ Demonstrators (Compliance/ Non Compliance)
Nagpur,Gondia,GMC Gondia,Emergency Medicine,0,20,1,0,0,0,10,0,0,1,0,0,0,0,0,Not Complied,Complied,Complied,Not Complied,Complied
Nagpur,Gondia,GMC Gondia,Dentistry,0,0,0,1,0,1,1,0,0,1,1,1,0,0,,Complied,Not Complied,Complied,Not Complied,Complied
Nashik,Jalgaon,GMC Jalgaon,Anatomy,0,0,0,1,1,2,6,0,0,1,1,2,0,3,0,Complied,Complied,Complied,Not Complied,Not Complied
Nashik,Jalgaon,GMC Jalgaon,Physiology,0,0,0,1,1,2,4,0,0,1,1,2,0,3,,Complied,Complied,Complied,Not Complied,Not Complied
Nashik,Jalgaon,GMC Jalgaon,Biochemistry,0,0,0,1,1,2,5,0,0,1,1,2,0,4,0,Complied,Complied,Complied,Not Complied,Not Complied
Nashik,Jalgaon,GMC Jalgaon,Pathology,0,0,0,1,2,3,6,0,2,1,3,3,0,5,2,Complied,Not Complied,Complied,Not Complied,Not Complied
Nashik,Jalgaon,GMC Jalgaon,Microbiology,0,0,0,1,1,2,5,0,4,1,1,2,0,4,4,Complied,Complied,Complied,Not Complied,Not Complied
Nashik,Jalgaon,GMC Jalgaon,Pharmacology,0,0,0,1,1,2,5,0,5,1,1,2,0,3,5,Complied,Complied,Complied,Not Complied,Not Complied
Nashik,Jalgaon,GMC Jalgaon,Forensic Medicine Including Toxicology,0,0,0,1,0,1,4,0,3,1,1,1,0,3,3,Complied,Not Complied,Complied,Not Complied,Not Complied
Nashik,Jalgaon,GMC Jalgaon,Community Medicine,0,0,0,1,2,5,5,0,4,1,2,3,0,4,4,Complied,Complied,Not Complied,Not Complied,Not Complied
Nashik,Jalgaon,GMC Jalgaon,General Medicine,0,98,3,2,3,4,6,0,7,1,4,5,5,0,7,Not Complied,Not Complied,Not Complied,Not Complied,Complied
Nashik,Jalgaon,GMC Jalgaon,Paediatrics,0,35,1,1,2,2,4,0,5,1,2,3,3,0,5,Complied,Complied,Not Complied,Not Complied,Complied
Nashik,Jalgaon,GMC Jalgaon,Psychiatry,0,0,0,1,0,1,2,0,0,0,1,1,1,0,,Not Complied,Not Complied,Complied,Not Complied,Complied
Nashik,Jalgaon,GMC Jalgaon,"Dermatology, Venereology and Leprosy",0,10,0,1,0,1,2,0,0,0,1,1,1,0,0,Not Complied,Not Complied,Complied,Not Complied,Complied
Nashik,Jalgaon,GMC Jalgaon,Tuberculosis And Respiratory Diseases,0,0,0,1,0,1,2,0,0,1,0,1,1,0,,Complied,Complied,Complied,Not Complied,Complied
Nashik,Jalgaon,GMC Jalgaon,General Surgery,0,62,0,1,3,4,6,0,9,1,4,5,5,0,9,Complied,Not Complied,Not Complied,Not Complied,Complied
Nashik,Jalgaon,GMC Jalgaon,Orthopaedics,0,60,2,1,2,2,4,0,3,1,2,3,3,0,3,Complied,Complied,Not Complied,Not Complied,Complied
Nashik,Jalgaon,GMC Jalgaon,Radio-Diagnosis,0,2,1,1,1,1,4,0,3,1,1,1,3,0,3,Complied,Complied,Complied,Not Complied,Complied
Nashik,Jalgaon,GMC Jalgaon,Oto-Rhinolaryngology (ENT),0,20,1,1,1,1,3,0,3,1,1,1,1,0,3,Complied,Complied,Complied,Not Complied,Complied
Nashik,Jalgaon,GMC Jalgaon,Ophthalmology,0,30,1,1,1,1,3,0,3,1,1,1,1,0,3,Complied,Complied,Complied,Not Complied,Complied
Nashik,Jalgaon,GMC Jalgaon,Obstetrics And Gynaecology,0,60,3,1,1,4,5,0,7,1,2,3,3,0,7,Complied,Not Complied,Not Complied,Not Complied,Complied
Nashik,Jalgaon,GMC Jalgaon,Anaesthesiology,0,12,1,1,3,3,4,0,5,1,3,5,3,0,5,Complied,Complied,Not Complied,Not Complied,Complied
Nashik,Jalgaon,GMC Jalgaon,Emergency Medicine,0,0,0,0,0,0,10,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Not Complied,Complied
Nashik,Jalgaon,GMC Jalgaon,Dentistry,0,3,1,1,0,1,2,0,0,1,1,1,0,0,,Complied,Not Complied,Complied,Not Complied,Complied
Nashik,Jalgaon,GMC Jalgaon,Any Other - NICU,0,40,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Nashik,Jalgaon,GMC Jalgaon,Any Other - PICU,0,14,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Nashik,Jalgaon,GMC Jalgaon,Any Other - Major OT,0,5,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Nashik,Jalgaon,GMC Jalgaon,Any Other - OT,0,5,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Chhatrapati Sambhajinagar,Latur,GMC Latur,Anatomy,150,0,0,1,3,3,6,4,2,1,1,2,0,3,2,Complied,Not Complied,Not Complied,Not Complied,Not Complied
Chhatrapati Sambhajinagar,Latur,GMC Latur,Physiology,0,0,0,1,2,3,4,0,2,1,1,2,0,3,2,Complied,Not Complied,Not Complied,Not Complied,Not Complied
Chhatrapati Sambhajinagar,Latur,GMC Latur,Biochemistry,0,0,0,0,2,2,0,0,0,1,1,2,0,4,0,Not Complied,Not Complied,Complied,Complied,Not Complied
Chhatrapati Sambhajinagar,Latur,GMC Latur,Pathology,0,0,0,1,6,5,4,0,5,1,3,3,0,5,5,Complied,Not Complied,Not Complied,Not Complied,Not Complied
Chhatrapati Sambhajinagar,Latur,GMC Latur,Microbiology,0,0,0,0,2,3,2,0,2,1,1,2,0,4,2,Not Complied,Not Complied,Not Complied,Not Complied,Not Complied
Chhatrapati Sambhajinagar,Latur,GMC Latur,Pharmacology,0,0,0,1,2,2,0,1,2,1,1,2,0,3,2,Complied,Not Complied,Complied,Complied,Not Complied
Chhatrapati Sambhajinagar,Latur,GMC Latur,Forensic Medicine Including Toxicology,0,0,0,1,1,1,1,0,2,1,1,1,0,3,2,Complied,Complied,Complied,Not Complied,Not Complied
Chhatrapati Sambhajinagar,Latur,GMC Latur,Community Medicine,0,0,0,1,3,5,0,0,4,1,2,3,0,4,4,Complied,Not Complied,Not Complied,Complied,Not Complied
Chhatrapati Sambhajinagar,Latur,GMC Latur,General Medicine,0,150,5,1,3,6,10,0,7,1,4,5,5,0,7,Complied,Not Complied,Not Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Latur,GMC Latur,Paediatrics,0,90,3,0,2,3,2,0,3,1,2,3,3,0,3,Not Complied,Complied,Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Latur,GMC Latur,Psychiatry,0,30,1,0,1,1,0,1,0,0,1,1,1,0,0,Complied,Complied,Complied,Not Complied,Not Complied
Chhatrapati Sambhajinagar,Latur,GMC Latur,"Dermatology, Venereology and Leprosy",0,20,1,1,1,2,1,0,3,0,1,1,1,0,3,Not Complied,Complied,Not Complied,Complied,Complied
Chhatrapati Sambhajinagar,Latur,GMC Latur,Tuberculosis And Respiratory Diseases,0,30,1,1,0,2,0,0,0,1,0,1,1,0,0,Complied,Complied,Not Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Latur,GMC Latur,General Surgery,0,183,3,1,3,5,6,0,9,1,4,5,5,0,9,Complied,Not Complied,Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Latur,GMC Latur,Orthopaedics,0,90,3,1,1,3,2,0,2,1,2,3,3,0,2,Complied,Not Complied,Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Latur,GMC Latur,Oto-Rhinolaryngology (ENT),0,30,1,1,0,2,2,0,3,1,1,1,1,0,3,Complied,Not Complied,Not Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Latur,GMC Latur,Ophthalmology,0,40,2,1,1,1,3,0,4,1,1,1,1,0,4,Complied,Complied,Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Latur,GMC Latur,Obstetrics And Gynaecology,0,150,3,0,3,6,3,0,6,1,2,3,3,0,6,Not Complied,Not Complied,Not Complied,Complied,Complied
Chhatrapati Sambhajinagar,Latur,GMC Latur,Anaesthesiology,0,0,0,1,4,6,6,0,9,1,3,5,3,0,9,Complied,Not Complied,Not Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Latur,GMC Latur,Radiology,0,0,0,1,2,2,4,0,5,1,0,0,0,0,5,Complied,Not Complied,Not Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Latur,GMC Latur,Dentistry,0,0,1,1,0,0,1,0,0,1,1,1,0,0,,Complied,Not Complied,Not Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Nanded,GMC Nanded,Anatomy,150,0,0,1,2,3,6,0,2,1,1,2,0,3,2,Complied,Not Complied,Not Complied,Not Complied,Not Complied
Chhatrapati Sambhajinagar,Nanded,GMC Nanded,Physiology,0,0,0,1,2,4,4,0,2,1,1,2,0,3,2,Complied,Not Complied,Not Complied,Not Complied,Not Complied
Chhatrapati Sambhajinagar,Nanded,GMC Nanded,Biochemistry,0,0,0,1,2,2,5,0,0,1,1,2,0,4,5,Complied,Not Complied,Complied,Not Complied,Not Complied
Chhatrapati Sambhajinagar,Nanded,GMC Nanded,Pathology,0,0,0,1,3,8,6,0,5,1,3,3,0,5,4,Complied,Complied,Not Complied,Not Complied,Not Complied
Chhatrapati Sambhajinagar,Nanded,GMC Nanded,Microbiology,0,0,0,1,1,2,5,0,2,1,1,2,0,4,5,Complied,Complied,Complied,Not Complied,Not Complied
Chhatrapati Sambhajinagar,Nanded,GMC Nanded,Pharmacology,0,0,0,1,1,3,5,0,2,1,1,2,0,3,5,Complied,Complied,Not Complied,Not Complied,Not Complied
Chhatrapati Sambhajinagar,Nanded,GMC Nanded,Forensic Medicine Including Toxicology,0,0,0,1,1,1,4,0,2,1,1,1,0,3,5,Complied,Complied,Complied,Not Complied,Not Complied
Chhatrapati Sambhajinagar,Nanded,GMC Nanded,Community Medicine,0,0,0,1,2,3,5,2,4,1,2,3,0,4,8,Complied,Complied,Complied,Not Complied,Not Complied
Chhatrapati Sambhajinagar,Nanded,GMC Nanded,General Medicine,0,150,5,1,3,5,16,0,7,1,4,5,5,0,9,Complied,Not Complied,Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Nanded,GMC Nanded,Paediatrics,0,90,3,1,2,3,4,0,3,1,2,3,3,0,3,Complied,Complied,Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Nanded,GMC Nanded,Psychiatry,0,30,1,1,1,1,2,0,0,0,1,1,1,0,3,Not Complied,Complied,Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Nanded,GMC Nanded,"Dermatology, Venereology and Leprosy",0,20,1,1,1,1,2,0,3,0,1,1,1,0,5,Not Complied,Complied,Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Nanded,GMC Nanded,Tuberculosis And Respiratory Diseases,0,30,1,1,1,2,2,0,0,1,0,1,1,0,5,Complied,Not Complied,Not Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Nanded,GMC Nanded,General Surgery,0,183,3,1,3,5,6,0,9,1,4,5,5,0,9,Complied,Not Complied,Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Nanded,GMC Nanded,Orthopaedics,0,90,3,1,2,3,4,0,2,1,2,3,3,0,6,Complied,Complied,Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Nanded,GMC Nanded,Oto-Rhinolaryngology (ENT),0,30,1,0,1,1,3,0,3,1,1,1,1,0,4,Not Complied,Complied,Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Nanded,GMC Nanded,Ophthalmology,0,40,2,1,1,2,3,0,4,1,1,1,1,0,4,Complied,Complied,Not Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Nanded,GMC Nanded,Obstetrics And Gynaecology,0,150,3,1,2,3,5,0,6,1,2,3,3,0,10,Complied,Complied,Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Nanded,GMC Nanded,Anaesthesiology,0,0,0,1,2,3,4,0,9,1,3,5,3,0,10,Complied,Not Complied,Not Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Nanded,GMC Nanded,Radiology,0,0,0,1,1,1,4,0,5,1,0,0,0,0,3,Complied,Not Complied,Not Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Nanded,GMC Nanded,Dentistry,0,0,1,1,1,1,2,0,0,1,1,1,0,0,,Complied,Complied,Complied,Not Complied,Complied
Nashik,Nandurbar,GMC Nandurbar,Anatomy,100,0,0,1,1,0,0,0,0,1,1,1,0,3,,Complied,Complied,Not Complied,Complied,Not Complied
Nashik,Nandurbar,GMC Nandurbar,Physiology,0,0,0,1,1,1,0,0,0,1,1,1,0,3,,Complied,Complied,Complied,Complied,Not Complied
Nashik,Nandurbar,GMC Nandurbar,Biochemistry,0,0,0,0,1,1,0,0,0,1,1,1,0,3,,Not Complied,Complied,Complied,Complied,Not Complied
Nashik,Nandurbar,GMC Nandurbar,Pathology,0,0,0,0,1,2,1,0,0,1,2,3,0,4,,Not Complied,Not Complied,Not Complied,Not Complied,Not Complied
Nashik,Nandurbar,GMC Nandurbar,Microbiology,0,0,0,0,0,1,0,0,0,1,1,1,0,3,,Not Complied,Not Complied,Complied,Complied,Not Complied
Nashik,Nandurbar,GMC Nandurbar,Pharmacology,0,0,0,0,0,2,0,0,0,1,1,1,0,2,,Not Complied,Not Complied,Not Complied,Complied,Not Complied
Nashik,Nandurbar,GMC Nandurbar,Forensic Medicine Including Toxicology,0,0,0,1,1,1,1,0,0,1,0,1,0,2,,Complied,Not Complied,Complied,Not Complied,Not Complied
Nashik,Nandurbar,GMC Nandurbar,Community Medicine,0,0,0,1,1,5,0,0,0,1,2,2,0,3,,Complied,Not Complied,Not Complied,Complied,Not Complied
Nashik,Nandurbar,GMC Nandurbar,General Medicine,0,100,3,0,0,1,3,0,0,1,3,4,4,0,,Not Complied,Not Complied,Not Complied,Not Complied,Complied
Nashik,Nandurbar,GMC Nandurbar,Paediatrics,0,50,1,0,1,0,0,0,0,1,1,2,2,0,,Not Complied,Complied,Not Complied,Not Complied,Complied
Nashik,Nandurbar,GMC Nandurbar,Psychiatry,0,10,1,0,0,1,0,0,0,0,1,1,1,0,,Complied,Not Complied,Complied,Not Complied,Complied
Nashik,Nandurbar,GMC Nandurbar,"Dermatology, Venereology and Leprosy",0,10,1,0,0,0,1,0,0,0,1,1,1,0,,Complied,Not Complied,Not Complied,Complied,Complied
Nashik,Nandurbar,GMC Nandurbar,Tuberculosis And Respiratory Diseases,0,0,1,0,0,1,0,0,0,1,0,1,1,0,,Not Complied,Complied,Complied,Not Complied,Complied
Nashik,Nandurbar,GMC Nandurbar,General Surgery,0,100,3,1,2,0,1,0,0,1,3,4,4,0,,Complied,Not Complied,Not Complied,Not Complied,Complied
Nashik,Nandurbar,GMC Nandurbar,Orthopaedics,0,40,1,1,0,1,0,0,0,1,1,2,2,0,,Complied,Not Complied,Not Complied,Not Complied,Complied
Nashik,Nandurbar,GMC Nandurbar,Radio-Diagnosis,0,0,0,0,0,1,0,0,0,1,1,1,2,0,,Not Complied,Not Complied,Complied,Not Complied,Complied
Nashik,Nandurbar,GMC Nandurbar,Oto-Rhinolaryngology (ENT),0,20,1,0,0,1,1,0,0,1,1,1,1,0,,Not Complied,Not Complied,Complied,Complied,Complied
Nashik,Nandurbar,GMC Nandurbar,Ophthalmology,0,20,2,0,1,1,0,0,0,1,1,1,1,0,,Not Complied,Complied,Complied,Not Complied,Complied
Nashik,Nandurbar,GMC Nandurbar,Obstetrics And Gynaecology,0,50,2,0,1,1,1,0,0,1,1,2,2,0,,Not Complied,Complied,Not Complied,Not Complied,Complied
Nashik,Nandurbar,GMC Nandurbar,Anaesthesiology,0,0,0,1,2,3,0,0,0,1,2,4,3,0,,Complied,Complied,Not Complied,Not Complied,Complied
Nashik,Nandurbar,GMC Nandurbar,Dentistry,0,0,0,0,0,0,1,0,0,1,1,1,0,0,,Not Complied,Not Complied,Not Complied,Not Complied,Complied
Konkan,Ratnagiri,GMC Ratnagiri,Anatomy,100,0,0,0,0,2,0,0,0,1,1,1,0,3,,Not Complied,Not Complied,Not Complied,Complied,Not Complied
Konkan,Ratnagiri,GMC Ratnagiri,Physiology,0,0,0,0,1,1,0,0,0,1,1,1,0,3,,Not Complied,Complied,Complied,Complied,Not Complied
Konkan,Ratnagiri,GMC Ratnagiri,Biochemistry,0,0,0,0,1,0,0,0,0,1,1,1,0,3,,Not Complied,Complied,Not Complied,Complied,Not Complied
Konkan,Ratnagiri,GMC Ratnagiri,Microbiology,0,0,0,0,1,0,0,0,0,1,1,1,0,3,,Not Complied,Complied,Not Complied,Complied,Not Complied
Konkan,Ratnagiri,GMC Ratnagiri,Pharmacology,0,0,0,0,1,0,0,0,0,1,1,1,0,2,,Not Complied,Complied,Not Complied,Complied,Not Complied
Konkan,Ratnagiri,GMC Ratnagiri,Forensic Medicine Including Toxicology,0,0,0,0,0,1,0,0,0,1,0,1,0,2,,Not Complied,Complied,Complied,Complied,Not Complied
Konkan,Ratnagiri,GMC Ratnagiri,General Medicine,0,0,0,1,0,0,0,0,0,1,3,4,4,0,,Complied,Not Complied,Not Complied,Not Complied,Complied
Konkan,Ratnagiri,GMC Ratnagiri,Paediatrics,0,0,0,0,0,0,1,0,0,1,1,2,2,0,,Not Complied,Not Complied,Not Complied,Not Complied,Complied
Konkan,Ratnagiri,GMC Ratnagiri,Psychiatry,0,0,0,0,0,0,1,0,0,0,1,1,1,0,,Complied,Not Complied,Not Complied,Complied,Complied
Konkan,Ratnagiri,GMC Ratnagiri,General Surgery,0,0,0,0,0,1,0,0,0,1,3,4,4,0,,Not Complied,Not Complied,Not Complied,Not Complied,Complied
Konkan,Ratnagiri,GMC Ratnagiri,Radio-Diagnosis,0,0,0,0,0,0,1,0,0,1,1,1,2,0,,Not Complied,Not Complied,Not Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Dharashiv,GMC Dharashiv,Anatomy,100,0,0,0,1,1,0,1,0,1,1,1,0,3,,Not Complied,Complied,Complied,Complied,Not Complied
Chhatrapati Sambhajinagar,Dharashiv,GMC Dharashiv,Physiology,0,0,0,0,1,2,0,0,0,1,1,1,0,3,,Not Complied,Complied,Not Complied,Complied,Not Complied
Chhatrapati Sambhajinagar,Dharashiv,GMC Dharashiv,Biochemistry,0,0,0,1,1,2,0,1,0,1,1,1,0,3,,Complied,Complied,Not Complied,Complied,Not Complied
Chhatrapati Sambhajinagar,Dharashiv,GMC Dharashiv,Pathology,0,0,0,0,0,3,2,0,0,1,2,3,0,4,,Not Complied,Not Complied,Complied,Not Complied,Not Complied
Chhatrapati Sambhajinagar,Dharashiv,GMC Dharashiv,Microbiology,0,0,0,0,1,2,0,0,0,1,1,1,0,3,,Not Complied,Complied,Not Complied,Complied,Not Complied
Chhatrapati Sambhajinagar,Dharashiv,GMC Dharashiv,Pharmacology,0,0,0,0,1,0,0,2,0,1,1,1,0,2,,Not Complied,Complied,Not Complied,Complied,Complied
Chhatrapati Sambhajinagar,Dharashiv,GMC Dharashiv,Forensic Medicine Including Toxicology,0,0,0,1,0,0,1,0,0,1,0,1,0,2,,Complied,Complied,Not Complied,Not Complied,Not Complied
Chhatrapati Sambhajinagar,Dharashiv,GMC Dharashiv,Community Medicine,0,0,0,0,1,3,1,0,0,1,2,2,0,3,,Not Complied,Not Complied,Not Complied,Not Complied,Not Complied
Chhatrapati Sambhajinagar,Dharashiv,GMC Dharashiv,General Medicine,0,110,3,0,0,4,1,0,0,1,3,4,4,0,,Not Complied,Not Complied,Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Dharashiv,GMC Dharashiv,Paediatrics,0,30,0,0,0,1,0,0,0,1,1,2,2,0,,Not Complied,Not Complied,Not Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Dharashiv,GMC Dharashiv,Psychiatry,0,10,0,0,0,0,0,0,0,0,1,1,1,0,,Complied,Not Complied,Not Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Dharashiv,GMC Dharashiv,"Dermatology, Venereology and Leprosy",0,10,0,0,0,0,0,0,0,0,1,1,1,0,,Complied,Not Complied,Not Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Dharashiv,GMC Dharashiv,Tuberculosis And Respiratory Diseases,0,10,1,0,0,1,0,0,0,1,0,1,1,0,,Not Complied,Complied,Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Dharashiv,GMC Dharashiv,General Surgery,0,60,3,0,1,4,0,0,0,1,3,4,4,0,,Not Complied,Not Complied,Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Dharashiv,GMC Dharashiv,Orthopaedics,0,30,2,0,0,1,2,0,0,1,1,2,2,0,,Not Complied,Not Complied,Not Complied,Complied,Complied
Chhatrapati Sambhajinagar,Dharashiv,GMC Dharashiv,Radio-Diagnosis,0,0,0,0,0,2,0,1,0,1,1,1,2,0,,Not Complied,Not Complied,Not Complied,Not Complied,Not Complied
Chhatrapati Sambhajinagar,Dharashiv,GMC Dharashiv,Oto-Rhinolaryngology (ENT),0,10,1,0,0,1,1,0,0,1,1,1,1,0,,Not Complied,Not Complied,Complied,Complied,Complied
Chhatrapati Sambhajinagar,Dharashiv,GMC Dharashiv,Ophthalmology,0,30,1,0,0,1,1,0,0,1,1,1,1,0,,Not Complied,Not Complied,Complied,Complied,Complied
Chhatrapati Sambhajinagar,Dharashiv,GMC Dharashiv,Obstetrics And Gynaecology,0,100,2,0,1,1,1,0,0,1,1,2,2,0,,Not Complied,Complied,Not Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Dharashiv,GMC Dharashiv,Anaesthesiology,0,0,0,1,2,1,1,0,0,1,2,4,3,0,,Complied,Complied,Not Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Dharashiv,GMC Dharashiv,Emergency Medicine,0,30,0,0,0,1,1,0,1,1,0,0,0,0,,Not Complied,Complied,Not Complied,Not Complied,Complied
Chhatrapati Sambhajinagar,Dharashiv,GMC Dharashiv,Dentistry,0,0,0,0,0,1,0,0,0,1,1,1,0,0,,Not Complied,Not Complied,Complied,Complied,Complied
Pune,Pune,GMC Miraj,Anatomy,200,0,0,1,2,6,6,0,3,1,2,3,0,4,3,Complied,Complied,Not Complied,Not Complied,Not Complied
Pune,Pune,GMC Miraj,Physiology,0,0,0,1,3,5,5,0,2,1,2,3,0,4,2,Complied,Not Complied,Not Complied,Not Complied,Not Complied
Pune,Pune,GMC Miraj,Biochemistry,0,0,0,1,2,3,5,0,3,1,2,3,0,4,3,Complied,Complied,Complied,Not Complied,Not Complied
Pune,Pune,GMC Miraj,Pathology,0,0,0,1,5,8,7,0,5,1,3,4,0,6,5,Complied,Not Complied,Not Complied,Not Complied,Not Complied
Pune,Pune,GMC Miraj,Microbiology,0,0,0,1,3,3,5,0,5,1,2,3,0,4,5,Complied,Not Complied,Complied,Not Complied,Not Complied
Pune,Pune,GMC Miraj,Pharmacology,0,0,0,1,2,5,7,0,2,1,2,3,0,4,2,Complied,Complied,Not Complied,Not Complied,Not Complied
Pune,Pune,GMC Miraj,Forensic Medicine Including Toxicology,0,0,0,1,2,2,5,0,3,1,1,1,0,4,3,Complied,Not Complied,Not Complied,Not Complied,Not Complied
Pune,Pune,GMC Miraj,Community Medicine,0,0,0,1,3,5,7,0,5,1,2,4,0,5,5,Complied,Not Complied,Not Complied,Not Complied,Not Complied
Pune,Pune,GMC Miraj,General Medicine,0,46,2,1,5,6,8,0,6,1,6,7,7,0,6,Complied,Not Complied,Not Complied,Not Complied,Complied
Pune,Pune,GMC Miraj,Paediatrics,0,30,2,1,2,3,5,0,10,1,3,4,4,0,10,Complied,Not Complied,Not Complied,Not Complied,Complied
Pune,Pune,GMC Miraj,Psychiatry,0,0,0,1,1,2,2,0,2,1,0,1,1,0,2,Complied,Not Complied,Not Complied,Not Complied,Complied
Pune,Pune,GMC Miraj,"Dermatology, Venereology and Leprosy",0,16,1,1,2,2,2,0,2,1,0,1,1,0,2,Complied,Not Complied,Not Complied,Not Complied,Complied
Pune,Pune,GMC Miraj,Tuberculosis And Respiratory Diseases,0,16,1,1,2,2,2,0,0,1,0,1,1,0,0,Complied,Not Complied,Not Complied,Not Complied,Complied
Pune,Pune,GMC Miraj,General Surgery,0,50,2,1,4,6,8,0,12,1,6,7,7,0,12,Complied,Not Complied,Not Complied,Not Complied,Complied
Pune,Pune,GMC Miraj,Orthopaedics,0,35,1,1,2,2,5,0,3,1,3,4,4,0,3,Complied,Not Complied,Not Complied,Not Complied,Complied
Pune,Pune,GMC Miraj,Radio-Diagnosis,0,0,0,1,2,3,4,0,5,1,1,2,3,0,5,Complied,Not Complied,Not Complied,Not Complied,Complied
Pune,Pune,GMC Miraj,Oto-Rhinolaryngology (ENT),0,22,1,1,2,2,3,0,2,1,1,1,1,0,2,Complied,Not Complied,Not Complied,Not Complied,Complied
Pune,Pune,GMC Miraj,Ophthalmology,0,20,1,1,2,2,3,0,5,1,1,2,2,0,5,Complied,Not Complied,Complied,Not Complied,Complied
Pune,Pune,GMC Miraj,Obstetrics And Gynaecology,0,35,1,1,5,5,5,0,12,1,3,4,4,0,12,Complied,Not Complied,Not Complied,Not Complied,Complied
Pune,Pune,GMC Miraj,Anaesthesiology,0,0,0,1,3,4,5,0,10,1,4,5,4,0,10,Complied,Not Complied,Not Complied,Not Complied,Complied
Pune,Pune,GMC Miraj,Emergency Medicine,0,0,0,1,1,1,10,0,2,1,0,0,0,0,2,Complied,Not Complied,Not Complied,Not Complied,Complied
Pune,Pune,GMC Miraj,Dentistry,0,0,0,1,1,1,2,0,0,1,1,1,0,0,,Complied,Complied,Complied,Not Complied,Complied
Pune,Pune,GMC Miraj,Any Other - ICU,0,15,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Pune,Pune,GMC Miraj,Any Other -  Surgical ICU,0,10,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Pune,Pune,GMC Miraj,Any Other - PICU ,0,10,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Pune,Pune,GMC Miraj,Any Other - NICU,0,10,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Pune,Pune,GMC Miraj,Blood Bank,0,0,0,0,1,1,0,0,0,1,0,0,0,0,,Not Complied,Not Complied,Not Complied,Complied,Complied
Pune,Satara,GMC Satara,Anatomy,100,0,0,1,1,1,0,0,0,1,1,1,0,3,,Complied,Complied,Complied,Complied,Not Complied
Pune,Satara,GMC Satara,Physiology,0,0,0,0,1,2,0,0,0,1,1,1,0,3,,Not Complied,Complied,Not Complied,Complied,Not Complied
Pune,Satara,GMC Satara,Biochemistry,0,0,0,1,1,2,0,0,0,1,1,1,0,3,,Complied,Complied,Not Complied,Complied,Not Complied
Pune,Satara,GMC Satara,Pathology,0,0,0,1,1,1,0,0,0,1,2,3,0,4,,Complied,Not Complied,Not Complied,Complied,Not Complied
Pune,Satara,GMC Satara,Microbiology,0,0,0,1,1,0,0,0,0,1,1,1,0,3,,Complied,Complied,Not Complied,Complied,Not Complied
