Sr. No.,Division,District,Institute Code,Year,Course,Institute Name,Capacity,Enrolled
6739,Pune,Satara,1579,2024-25,GNM,"PRIYADARSHI NURSING & PARAMEDICAL EDUCATION INSTITUTE, KHANDALA, SATARA",60,9
6740,Pune,Satara,215,2024-25,GNM,"KRISHNA HOSPITAL MEDICAL RESEARCH CENTER , KARAD, SATARA",60,60
6741,Pune,Satara,233,2024-25,GNM,"LATE NARAYANDAS BHAWANGDAS CHHABADA TRAINING COLLEGE OF NURSING, SATARA",50,50
6742,Pune,Satara,240,2024-25,GNM,"W.F.P.M., SCHOOL OF NURSING, WAI, SATARA",60,60
6743,Pune,Satara,303,2024-25,GNM,"APARNA INST. OF NURSING EDUCATION , KARAD",30,27
6744,Pune,Satara,306,2024-25,GNM,"SANJEEVAN MEDICAL COLLEGE OF NURSING , SATARA",40,40
6745,Pune,Satara,807,2024-25,GNM,"RAJMATA NURSING SCHOOL, SATARA",80,80
6746,Pune,Satara,90,2024-25,GNM,"PHALTAN EDUCATION SOCIETY, SCHOOL OF NURSING, PHALTAN ,SATARA",80,80
6747,Pune,Satara,91,2024-25,GNM,"KANISHKA CHARITABLE TRUSTS, SCHOOL OF NURSING ,SATARA",40,40
6748,Konkan,Sindhudurg,1136,2024-25,GNM,"Mukundrav Phatak Nursing College, Jamsande",40,40
6749,Konkan,Sindhudurg,1182,2024-25,GNM,"SHRI. SARASWATI SCHOOL OF NURSING TONDAVALI,SINDHUDURG",50,50
6750,Konkan,Sindhudurg,1230,2024-25,GNM,"Dnyanvardhini Charitable Trust Nursing Institute Talere Kankavli, Sindhudurg",40,27
6751,Konkan,Sindhudurg,199,2024-25,GNM,"MANAV SADHAN VIKAS SANSTHA, SON, KUDAL, SINDHUDURG",60,44
6752,Konkan,Sindhudurg,35,2024-25,GNM,"SHREE ANANT SMRUTI SCHOOL OF NURSING, KASAL",60,57
