Sr. No.,Division,District,Institute Code,Year,Course,Institute Name,Capacity,Enrolled
1,Konkan,Mumbai City,1,2018-19,ANM,"CAMA  ALBLESS HOSPITAL , MUMBAI",20,18
2,Konkan,Mumbai City,2,2018-19,ANM,"AKI INSTITUTE OF NURSING, NAGPADA, MUMBAI",20,20
3,Konkan,Mumbai City,3,2018-19,ANM,"SMT. S. C. NANAVATI OF POLYTECHNIC SCHOOL OF NURSING, MUMBAI",40,40
4,Konkan,Thane,4,2018-19,ANM,"V. S. GENERAL HOSPITAL, THANE",20,20
5,Konkan,Raigarh,5,2018-19,ANM,"WOMENS INDIA TRUST, PANVEL",20,19
6,Konkan,Raigarh,6,2018-19,ANM,"GENERAL HOSPITAL,  ALIBAG",20,19
7,Konkan,Ratnagiri,7,2018-19,ANM,"GENERAL HOSPITAL, RATNAGIRI",20,19
8,Nashik,Nashik,8,2018-19,ANM,"GENERAL HOSPITAL, NASIK",20,18
9,Nashik,Dhule,9,2018-19,ANM,"GENERAL HOSPITAL,  DHULE",20,20
10,Nashik,Jalgaon,10,2018-19,ANM,"GENERAL HOSPITAL,  JALGAON",20,19
11,Nashik,Nashik,12,2018-19,ANM,GANPATRAO ADKE INE.  NASIK,20,20
12,Nashik,Nashik,13,2018-19,ANM,"NASIK MEDICO TRAINING COLLEGE OF NURSING, NASIK",40,15
13,Konkan,Ratnagiri,14,2018-19,ANM,"RAMRAJE SCH. NSG, RCON DAPOLI, RATNAGIRI",20,14
14,Konkan,Raigarh,16,2018-19,ANM,"NOOTAN SCHOOL OF NURSING, RAIGAD",30,23
15,Nashik,Nashik,17,2018-19,ANM,"RACHANA SCHOOL OF NURSING, NASHIK",40,30
16,Nashik,Nashik,18,2018-19,ANM,"S.N.D. SCHOOL OF NURSING, JES, YEOLA,  NASIK",30,30
17,Nashik,Nandurbar,19,2018-19,ANM,"K.D. GAVIT NURSING SCHOOL, PATHRAI , NANDURBAR",20,20
18,Nashik,Dhule,22,2018-19,ANM,RAJANI SMRUTI NSG SCH. DONDAICHA SHINDKHEDA DHULE,30,18
19,Konkan,Raigarh,23,2018-19,ANM,"LIFE LINE HOSPITAL, PANVEL",20,17
20,Konkan,Raigarh,26,2018-19,ANM,"KALAVATI INSTITUTE OF NURSING EDUCATION,  AIROLI NAVI MUMBAI",40,35
21,Nashik,Jalgaon,27,2018-19,ANM,"BHAGINI MANDAL SCHOOL OF NURSING, CHOPDA , JALGAON",25,20
22,Konkan,Ratnagiri,29,2018-19,ANM,"PARKAR MEDICAL FOUNDATION SCHOOL OF NURSING, RATNAGIRI",20,20
23,Nashik,Nashik,30,2018-19,ANM,"KARUNA SCHOOL OF NURSING, MANMAD, NASHIK",30,29
24,Nashik,Jalgaon,31,2018-19,ANM,"KHANDESH NURISNG INSTITUTE, CHALISGAON, JALGAON",20,18
25,Nashik,Nashik,33,2018-19,ANM,"NAMCO SCHOOL OF NURSING, NASIK",30,29
26,Konkan,Sindhudurg,35,2018-19,ANM,"SHREE ANANT SMRUTI SCHOOL OF NURSING, KASAL",20,18
27,Konkan,Sindhudurg,36,2018-19,ANM,"IDEAL NURSING SCHOOL, KANKAVALI, SINDHUDURG",20,19
28,Nashik,Nashik,37,2018-19,ANM,"VISHWASATTAYA SCHOOL OF NURSING, OZAR",30,15
29,Nashik,Nashik,38,2018-19,ANM,"NASHIK NURSING SCHOOL, NASHIK",20,20
30,Nashik,Ahilyanagar,39,2018-19,ANM,"GENERAL HOSPITAL,AHMEDNAGAR",20,19
31,Pune,Satara,40,2018-19,ANM,"GENERAL HOSPITAL, SATARA",20,19
32,Pune,Kolhapur,41,2018-19,ANM,"C.P.R. GENERAL HOSPITAL, KOLHAPUR",20,20
33,Pune,Solapur,42,2018-19,ANM,"DHANRAJGIRIJI HOSPITAL,  SOLAPUR",20,20
34,Pune,Pune,45,2018-19,ANM,"SETH TARACHAND R.C.A. SCH. OF NSG HOSPITAL, PUNE",20,16
35,Pune,Pune,46,2018-19,ANM,"Maharashtra Arogya Mandal's Institute of Nursing Education,Malwadi,Hadapsar,Pune",40,40
36,Pune,Pune,47,2018-19,ANM,"JANASEVA FOUNDATION SCH. OF NSG, PUNE",30,27
37,Nashik,Ahilyanagar,48,2018-19,ANM,"F.J.F.M. HOSPITAL SCH OF NSG, NEWASA, DISTAHMEDNAGAR",30,10
38,Nashik,Ahilyanagar,51,2018-19,ANM,KRANTI SCHOOL OF NURSING  AHMEDNAGAR,20,11
39,Pune,Kolhapur,53,2018-19,ANM,"DR. J. J. MAGDUM SON, SHIROL, KOLHAPUR",20,20
40,Pune,Solapur,56,2018-19,ANM,"BHAKTI MEDICAL FOUNDATION SCHOOL OF NURSING, SOLAPUR, PANDHARPUR",20,16
41,Pune,Sangli,57,2018-19,ANM,"SAHAKARMAHARSHI VISHNUANNA PATIL NURSING SCHOOL, SANGLI",20,7
42,Pune,Sangli,58,2018-19,ANM,"DESAI CHARITABLE TRUST TAL. MIRAJ, SANGLI",30,30
43,Pune,Kolhapur,59,2018-19,ANM,"WESTERN MAHARASHTRA SCHOOL OF NURSING, TILWANI, KOLHAPUR",20,16
44,Pune,Sangli,60,2018-19,ANM,"ABHINAV SCHOOL OF NURSING ASHTA, WALWA, SANGLI",30,10
45,Pune,Pune,62,2018-19,ANM,"Sevadham Trust A.S.M.T. SON, MAVAL, PUNE,",20,10
46,Pune,Solapur,64,2018-19,ANM,"SHIVAJI SHIKSHAN PRASARAK MANDALS, SON, BARSHI, SOLAPUR",30,29
47,Pune,Pune,65,2018-19,ANM,"ANAND MEDICAL FOUNDATION, SON, KURULI, KHED, PUNE",20,14
48,Pune,Sangli,66,2018-19,ANM,"KAMAL INSTITUTE OF NURSING EDUCATION, JATH, SANGLI",20,10
49,Nashik,Ahilyanagar,67,2018-19,ANM,"VIJAY GANGA RURAL, MED  RES FOUNDATION, SON, AHMEDNAGAR",20,17
50,Pune,Pune,68,2018-19,ANM,"SANT DNYANESHWAR MED EDU'S,SCHOOL OF NURSING, PUNE",20,19
51,Pune,Sangli,70,2018-19,ANM,"HON.R.R.PATIL INSTITUTE OF NSG EDUCATION,SANGLI",30,25
52,Pune,Sangli,71,2018-19,ANM,"KRANTIAGRANI G.D.BAPU LAD SCH OF NS, SANGLI",20,20
53,Pune,Sangli,72,2018-19,ANM,"UMA INST. OF NURSING EDUCATION, SANGLI",20,15
54,Nashik,Ahilyanagar,73,2018-19,ANM,"SEVA NURSING SCHOOL, AHMEDNAGAR",35,28
55,Pune,Kolhapur,74,2018-19,ANM,"KEDARI REDEKAR  NURSING SCHOOL, GADHINGLAJ, KOLHAPUR",30,16
56,Pune,Solapur,75,2018-19,ANM,"SHRI MARKANDEY SOLAPUR SAHAKARI RUGNALAYA, SOLAPUR",20,20
57,Pune,Pune,76,2018-19,ANM,"MEERA  NURSING SCHOOL, SASWAD, PUNE",30,30
58,Nashik,Ahilyanagar,77,2018-19,ANM,"INDIRA GANDHI NSG, COLLEGE, PARNER, AHMEDNAGAR",20,18
59,Pune,Kolhapur,78,2018-19,ANM,"Sant Gajanan Maharaj School of Nursing, Tal - Gadhinglaj, Kolhapur",20,20
60,Pune,Sangli,82,2018-19,ANM,"KULLOLLI CH.TRUST'S, SCHOOL OF NURSING, MIRAJ, SANGLI",30,29
61,Pune,Kolhapur,83,2018-19,ANM,"MAHALAXMI NURSING INSTITUTE, KOLHAPUR",20,20
62,Pune,Satara,84,2018-19,ANM,"SMT. INDUMATI RAMCHANDRA DESHMUKH SCHOOL OF NURSING, KHATAV, SATARA",20,13
63,Pune,Kolhapur,89,2018-19,ANM,"Y.D. MANE SCHOOL OF NURSING, KAGAL, KOLHAPUR",30,28
64,Pune,Satara,90,2018-19,ANM,"PHALTAN EDUCATION SOCIETY, SCHOOL OF NURSING, PHALTAN ,SATARA",20,20
65,Pune,Satara,91,2018-19,ANM,"KANISHKA CHARITABLE TRUST'S, SCHOOL OF NURSING ,SATARA",20,20
66,Pune,Kolhapur,92,2018-19,ANM,"ADHAAR NURSING SCHOOL, AJRA KOLHAPUR",20,20
67,Pune,Kolhapur,93,2018-19,ANM,"KAI. BALWANTRAO HANUMANTRAO PATIL SHIKSHAN PRASARAK MANDAL, KARVIR, KOLHAPUR",20,20
68,Nashik,Ahilyanagar,94,2018-19,ANM,"PRAVARA MEDICAL TRUST,SON, SHEVGAON, AHMEDNAGAR",40,40
69,Pune,Kolhapur,96,2018-19,ANM,"SARASWATI GAIKWAD NURSING SCHOOL , KOTOLI, PANHALA, KOLHAPUR",20,19
70,Nashik,Ahilyanagar,98,2018-19,ANM,"NITYASEVA HOSPITAL NURSING SCHOOL, SHEVGAON, AHMEDNAGAR",30,27
71,Nagpur,Wardha,101,2018-19,ANM,"FLORENCE NIGHTINGALE TRAINING COLLEGE OF NURSING,WARDHA.",60,60
72,Nagpur,Nagpur,103,2018-19,ANM,"MAHAL MATERNITY HOM, SON, NAGPUR",15,13
73,Nagpur,Wardha,105,2018-19,ANM,"GENERAL HOSPITAL, WARDHA",20,20
74,Nagpur,Nagpur,106,2018-19,ANM,"DAGA MEMORIAL HOSPITAL, NAGPUR",20,20
75,Amravati,Amravati,107,2018-19,ANM,"DIST.HOSPITAL FOR WOMEN , AMRAVATI",20,19
76,Amravati,Akola,108,2018-19,ANM,"DIST.HOSPITAL FOR WOMEN, AKOLA",20,20
77,Nagpur,Chandrapur,109,2018-19,ANM,"GENERAL HOSPITAL,CHANDRAPUR",20,20
78,Amravati,Yavatmal,110,2018-19,ANM,"GENERAL HOSPITAL ,YAVATMAL",30,19
79,Amravati,Buldana,111,2018-19,ANM,"GENERAL HOSPITAL, BULDANA",20,20
80,Nagpur,Bhandara,112,2018-19,ANM,"GENERAL HOSPITAL, BHANDARA",20,20
81,Nagpur,Gadchiroli,113,2018-19,ANM,GENERAL HOSPITAL  GADCHIROLI,20,19
82,Nagpur,Nagpur,114,2018-19,ANM,"SWAMI VIVEKANAND MED MISSION, PARSODI, SON, KHAPRI , NAGPUR",20,19
83,Amravati,Yavatmal,115,2018-19,ANM,"HELEN ROSE SCHOOL OF NURSING UMRI, YAVATMAL",20,10
84,Amravati,Amravati,116,2018-19,ANM,"MAA GAYATRI SCHOOL OF NURSING, ACHALPUR, AMRAVATI",20,19
85,Nagpur,Wardha,117,2018-19,ANM,"BHARTIYA MAHILA VIKAS NURSING SCHOOL, RAMNAGAR, WARDHA",30,7
86,Amravati,Akola,118,2018-19,ANM,"INSTITUTE OF NURSING EDUCATION & RESEARCH, AKOLA",30,24
87,Amravati,Yavatmal,119,2018-19,ANM,"SUMITRABAI THAKARE TRAINING COLLEGE OF NURSING, YAVATMAL",30,29
88,Nagpur,Nagpur,120,2018-19,ANM,"DR.DALVI MEMORIAL HOSPITAL, SON, NAGPUR",40,18
89,Nagpur,Nagpur,121,2018-19,ANM,"RIGHT VALUE INSTITUTE OF NURSING, NAGPUR",20,20
90,Amravati,Akola,122,2018-19,ANM,"NATIONAL SCHOOL OF NURSING , AKOLA",30,18
91,Nagpur,Nagpur,123,2018-19,ANM,"TIRPUDE NURSING TRAINING SCHOOL, NAGPUR",40,40
92,Amravati,Washim,124,2018-19,ANM,"MAA GANGA NURSING SCHOOL, WASHIM",20,20
93,Amravati,Yavatmal,125,2018-19,ANM,"PADOLE NURSING SCHOOL, YAVATMAL",20,20
94,Konkan,Raigarh,129,2018-19,ANM,"ANURADHA NURSING SCHOOL , CHIKHALI",30,30
95,Nagpur,Chandrapur,130,2018-19,ANM,"KALYAN INSTITUTE OF NURSING EDUCATION, RAJURA, CHANDRAPUR",20,19
96,Nagpur,Chandrapur,131,2018-19,ANM,"PRABHADEVI NURSING SCHOOL, CHANDRAPUR",40,40
97,Amravati,Yavatmal,134,2018-19,ANM,"TULSHIRAMJI SHEBE SCHOOL OF NURSING, PUSAD, YAVATMAL",30,30
98,Amravati,Yavatmal,136,2018-19,ANM,"MUNGASAJI MAHARAJ NURSING SCHOOL, YAVATMAL",20,20
99,Amravati,Yavatmal,137,2018-19,ANM,"MUNGASAJI MAHARAJ NURSING SCHOOL, DHARWA, YAVATMAL",20,20
100,Amravati,Yavatmal,138,2018-19,ANM,DR. ARCHANATAI GADE PATIL SCHOOL OF NURSING LOHARA YAVATMAL,25,25
101,Nagpur,Wardha,140,2018-19,ANM,"JANATA NURSING SCHOOL, HINGANGHAT, WARDHA",20,20
102,Nagpur,Nagpur,141,2018-19,ANM,"KALYANI NURSING SCHOOL, NAGPUR",20,18
103,Nagpur,Nagpur,142,2018-19,ANM,"RENUKA NURSING SCHOOL, HINGANA, NAGPUR",20,18
104,Amravati,Amravati,144,2018-19,ANM,"SUJATA SCHOOL OF NURSING, AMRAVATI",30,27
105,Amravati,Amravati,146,2018-19,ANM,DR. PANJABRAO DESHMUKH INST. OF NSG. AMRAVATI,30,29
106,Amravati,Akola,148,2018-19,ANM,"DR VANDANTAI DHONE NURSING SCHOOL, AKOLA",30,30
107,Nagpur,Wardha,149,2018-19,ANM,"SHALOM SCHOOL OF NURSING, WARDHA",40,40
108,Nagpur,Wardha,151,2018-19,ANM,"KASABAI SCHOOL OF NURSING, SEVAGRAM,WARDHA",20,18
109,Amravati,Buldana,152,2018-19,ANM,"INDIRA BAHU. SHIKSHAN SANSTHS, SCHOOL OF NURSING, SAGWAN, BULDHANA",20,20
110,Amravati,Buldana,153,2018-19,ANM,"INDIRA BAHU SHIKSHAN SANSTHS, SCHOOL OF NURSING,BELAD MALKAPUR",20,20
111,Nagpur,Bhandara,155,2018-19,ANM,"SHARDA NURSING SCHOOL, KHAPA TUMSAR, BHANDARA",20,12
112,Chh. Sambhaji Nagar,Nanded,158,2018-19,ANM,"SHRI GURU GOVINDSINGHJI MEMORIAL HOSPITAL, SON, NANDED",20,18
113,Chh. Sambhaji Nagar,Nanded,159,2018-19,ANM,"SMT. PRAMILATAI BHALERAO SCHOOL OF NURSING, Nanded",30,29
114,Chh. Sambhaji Nagar,Dharashiv,161,2018-19,ANM,"GENERAL HOSPITAL, SON, OSMANABAD",20,19
115,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,168,2018-19,ANM,"SHRI DHANESHWARI MANAV VIKAS MANDAL,  AURANGABAD",20,20
116,Chh. Sambhaji Nagar,Jalna,169,2018-19,ANM,"SHRI SAI  INSTITUE OF NURSING, JALNA",20,20
117,Chh. Sambhaji Nagar,Parbhani,170,2018-19,ANM,"MAULI INSTITUTE OF NURSING, PARBHANI",20,12
118,Chh. Sambhaji Nagar,Latur,174,2018-19,ANM,"INDIRA GANDHI NURSING SCHOOL, LATUR",30,27
119,Konkan,Thane,201,2018-19,ANM,"INSTITUTE  OF  NURSING  EDUCATION , DOMBIVALI",20,17
120,Nashik,Nashik,206,2018-19,ANM,"SAHYADRI SEVA SANSTHA , INSTITUTE OF NURSING , NASIK",20,15
121,Pune,Pune,221,2018-19,ANM,"BAKUL TAMBAT INSTITUTE OF NURSING EDUCATION, PUNE",30,30
122,Pune,Pune,226,2018-19,ANM,"DWARIKA SANGAMNER INSTITUTE OF NURSING EDUCATION, PUNE",20,16
123,Pune,Sangli,228,2018-19,ANM,"LOKNETE RAJARAMBAPU PATIL , TRG. COLL. OF NURSING , ISLAMPUR, WALWA, SANGLI",20,16
124,Pune,Sangli,230,2018-19,ANM,"KASEGAON EDUCATION SOCIETY, SCHOOL OF NURSING, ISLAMPUR, SANGLI",20,20
125,Pune,Pune,231,2018-19,ANM,"C Y DANGAT PATIL SHIKSHAN AND KRIDA MANDAL, SCHOOL OF NURSING , PUNE",20,18
126,Pune,Pune,232,2018-19,ANM,"GIRIRAJ SCHOOL OF NURSING , BARAMATI",30,29
127,Pune,Satara,233,2018-19,ANM,"LATE NARAYANDAS BHAWANGDAS CHHABADA TRAINING COLLEGE OF NURSING, SATARA",20,19
128,Pune,Solapur,241,2018-19,ANM,"SAHARA INSTITUTE OF NURSING EDUCATION, AKLUJ , SOLAPUR",20,11
129,Nagpur,Nagpur,251,2018-19,ANM,"SURETECH COLLEGE OF NURSING, NAGPUR",30,29
130,Nagpur,Gadchiroli,253,2018-19,ANM,"DR. SALVE NURSING INSTITUTE  COLLEGE , GADCHIROLI",30,17
131,Amravati,Yavatmal,256,2018-19,ANM,"PRUTHVIRAJ DESHMUKH NURSING INSTITUTE, LOHARA, YAVATMAL",20,19
132,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,259,2018-19,ANM,"MAHATMA GANDHI MISSION INSTITUTE OF NURSING EDUCATION, AURANGABAD",20,20
133,Chh. Sambhaji Nagar,Latur,262,2018-19,ANM,"GENERAL HOSPITAL, LATUR",20,20
134,Nagpur,Nagpur,266,2018-19,ANM,"ARNEJA INSTITUTE OF NURSING SCIENCES , NAGPUR",20,7
135,Nagpur,Nagpur,267,2018-19,ANM,"ASHARAM SCHOOL OF NURSING , NAGPUR",20,18
136,Pune,Satara,270,2018-19,ANM,"SHAKUNTALA  INSTITUTE OF NURSING EDUCATION , SATARA",20,16
137,Chh. Sambhaji Nagar,Dharashiv,271,2018-19,ANM,"INDIRA GANDHI NURSING SCHOOL, OSMANABAD",20,20
138,Pune,Kolhapur,272,2018-19,ANM,"SAU. JEBELINA NURSING SCHOOL, GARGOTI, KOLHAPUR",20,20
139,Chh. Sambhaji Nagar,Nanded,273,2018-19,ANM,"INDIRA GANDHI NURSING SCHOOL, MUKHED, NANDED",20,20
140,Amravati,Amravati,274,2018-19,ANM,"UTTAMRAO UMAK MEMORIAL NURSING SCHOOL,  ANJANGAON, AMRAVATI",20,20
141,Amravati,Amravati,275,2018-19,ANM,"KAMLABAI UMAK NURSING SCHOOL, AMRAVATI",20,19
142,Amravati,Amravati,276,2018-19,ANM,"LAXMANRAO UMAK MEMORIAL NURSING SCHOOL, BADNERA, AMRAVATI",20,20
143,Nashik,Ahilyanagar,278,2018-19,ANM,"PARVATIBAI MHASKE INSTITUTE OF NURSING, AHMEDNAGAR",20,17
144,Chh. Sambhaji Nagar,Nanded,279,2018-19,ANM,"LOTUS NURSING INSTITUTE, NANDED",20,19
145,Nagpur,Nagpur,280,2018-19,ANM,"MATRU SEVA SANGH NURSING SCHOOL,SITABULDI ,MATERNITY HOME NAGPUR",40,15
146,Konkan,Ratnagiri,281,2018-19,ANM,"SAMARTH INSTITUTE OF NURSING EDUCATION, DERVAN",20,20
147,Nashik,Ahilyanagar,282,2018-19,ANM,"MAHARASHTRA HOMOEOPATHIC FOUNDATION'S SCHOOL OF NURSING , PATHAR ,  AHMEDNAGAR",20,19
148,Chh. Sambhaji Nagar,Jalna,283,2018-19,ANM,"VASANTRAO NAIK SHIKSHAN PRASARAK MANDAL, JALNA",20,14
149,Pune,Sangli,284,2018-19,ANM,"ADARSH NURSING SCHOOL, VITA, SANGLI",20,19
150,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,286,2018-19,ANM,"MATA GIRIJA SCHOOL OF NURSING, AURANGABAD.",20,20
151,Pune,Kolhapur,287,2018-19,ANM,"KURUNDWAD INST. OF NURSING EDUCATION,SHIROL, KOLHAPUR",20,20
152,Amravati,Akola,289,2018-19,ANM,"RADHIKA NURSING SCHOOL, AKOLA",20,20
153,Chh. Sambhaji Nagar,Parbhani,290,2018-19,ANM,"MATOSHRI NURSING SCHOOL, PARBHANI",20,20
154,Pune,Sangli,294,2018-19,ANM,"HUTATMA INSTITUTE OF NURSING , WALWA , SANGLI",20,15
155,Pune,Solapur,296,2018-19,ANM,"BINIT NURSING INSTITUTE , SOLAPUR",20,19
156,Nashik,Dhule,297,2018-19,ANM,"NANDA AAI BAHU. NURSING TRAINING CENTRE, DEOPUR, DHULE",20,10
157,Amravati,Akola,299,2018-19,ANM,"ANGLE OF MERCY INSTITUTE OF NURSING SCIENCE, AKOLA",20,18
158,Pune,Pune,301,2018-19,ANM,"PUKHRAJ NAGRAJ RANKA SCHOOL OF NURSING , PUNE",20,8
159,Pune,Satara,303,2018-19,ANM,"APARNA INST. OF NURSING EDUCATION , KARAD",20,8
160,Chh. Sambhaji Nagar,Nanded,304,2018-19,ANM,"DR. G. A. GAIKWAD INSTITUTE OF NURSING, DEGLOOR, NANDED",20,11
161,Pune,Kolhapur,305,2018-19,ANM,"CREATIVE NURSING SCHOOL , GADHINGLAJ , KOLHAPUR",20,20
162,Pune,Satara,306,2018-19,ANM,"SANJEEVAN MEDICAL COLLEGE OF NURSING , SATARA",30,30
163,Nashik,Ahilyanagar,307,2018-19,ANM,"WAMANRAO ITHAPE NURSING COLLEGE, SANGAMNER, AHMEDNAGAR",30,29
164,Chh. Sambhaji Nagar,Beed,308,2018-19,ANM,"YASHWANT NURSING SCHOOL, ASHTI, BEED",20,20
165,Nashik,Nashik,309,2018-19,ANM,"SHREE SWAMI NARAYAN  NURSING INSTITUE, NASIK",30,29
166,Chh. Sambhaji Nagar,Beed,310,2018-19,ANM,"S.S.P.M. NURSING COLLEGE, ASHTI, BEED",20,16
167,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,311,2018-19,ANM,"SAKOLKAR NURSING SCHOOL, AURANGABAD",20,20
168,Pune,Pune,312,2018-19,ANM,"GENERAL HOSPITAL, AUNDH, PUNE",20,20
169,Chh. Sambhaji Nagar,Beed,313,2018-19,ANM,"DR. T. M. DHONDE SCHOOL OF NURSING, ASHTI , BEED",30,30
170,Chh. Sambhaji Nagar,Beed,314,2018-19,ANM,"NEW NURSING SCHOOL, BEED",20,16
171,Chh. Sambhaji Nagar,Dharashiv,316,2018-19,ANM,"JEEVAN JYOT AROGYA SHIKSHAN SANSTHA, SCHOOL OF NURSING, OSMANABAD",20,13
172,Pune,Pune,317,2018-19,ANM,"TEJASWINI NURSING SCHOOL, JUNNAR, PUNE",20,20
173,Pune,Pune,318,2018-19,ANM,"SHARDABAI PAWAR INSTITUTE OF NURSING, PUNE",40,37
174,Amravati,Amravati,322,2018-19,ANM,"MAA GAYATRI SCHOOL OF NURSING, AMRAVATI",20,0
175,Nashik,Jalgaon,323,2018-19,ANM,"GODAVARI COLLEGE OF  NURSING , JALGAON",30,19
176,Nashik,Nashik,325,2018-19,ANM,"MATOSHRI SCHOOL OF A.N.M. NURSING , EKLAHARE, NASIK",20,20
177,Amravati,Amravati,326,2018-19,ANM,"BHAKTI VEDANT SCHOOL OF NURSING, AMRAVATI",20,20
178,Amravati,Washim,327,2018-19,ANM,"MANSI COLLEGE OF NURSING , WASHIM",20,20
179,Nagpur,Wardha,328,2018-19,ANM,"EKVIRA DEVI EDUCATION SOCIETY, SCHOOL OF NURSING, WARDHA",20,19
180,Nagpur,Nagpur,329,2018-19,ANM,"MOTHER TERESA NURSING INSTITUTE , NAGPUR",20,19
181,Nashik,Nashik,330,2018-19,ANM,"MATOSHRI SCHOOL OF A.N.M. NURSING , BABULGAON , NASIK",20,20
182,Nagpur,Wardha,331,2018-19,ANM,SARASWATI NURSING SCHOOL GUNJKHEDA WARDHA,20,20
183,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,332,2018-19,ANM,"RAMKRISHANA NURSING SCHOOL, SILLOD, AURANGABAD",20,10
184,Amravati,Amravati,333,2018-19,ANM,"FLORENCE NIGHTINGLE NURSING SCHOOL, AMRAVATI",30,30
185,Amravati,Amravati,334,2018-19,ANM,"EKVIRA SCHOOL OF NURSING , DARYAPUR , AMRAVATI",20,20
186,Chh. Sambhaji Nagar,Latur,335,2018-19,ANM,"G.B .PATIL SCHOOL OF NURSING, UDGIR, LATUR",20,20
187,Chh. Sambhaji Nagar,Latur,336,2018-19,ANM,"SHRI BHAGWAN NURSING SCHOOL, LATUR",20,15
188,Amravati,Amravati,341,2018-19,ANM,"M.J. PAWADE NURSING SCHOOL, WARUD,  AMRAVATI",20,19
189,Nashik,Ahilyanagar,342,2018-19,ANM,"SAI NURSING INSTITUTE , RAHATA, AHMEDNAGAR",20,13
190,Nagpur,Nagpur,343,2018-19,ANM,"MADHUKARRAO MAHAKALKAR NURSING SCHOOL , DIGHORI , NAGPUR",30,24
191,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,345,2018-19,ANM,"SWATANTRA SENANI UTTAMRAOJI PATIL NURSING SCHOOL, AURANGABAD",20,10
192,Chh. Sambhaji Nagar,Dharashiv,349,2018-19,ANM,"HALO NURSING SCHOOL, ANADUR, TULJAPUR",20,15
193,Amravati,Buldana,350,2018-19,ANM,"RAJSHREE SCHOOL OF NURSING, MEHKAR, BULDANA",20,20
194,Konkan,Ratnagiri,352,2018-19,ANM,M.E.S SCHOOL OF NURSING KHED RATNAGIRI,30,29
195,Chh. Sambhaji Nagar,Latur,353,2018-19,ANM,"YASHWANT NURSING TRAINING SCHOOL, AHMADPUR, LATUR",20,20
196,Pune,Kolhapur,355,2018-19,ANM,"SAHAKAR MAHARSHI TATYASHEB KORE NURSING SCHOOL , HATKANGALE, KOLHAPUR",20,20
197,Chh. Sambhaji Nagar,Latur,356,2018-19,ANM,"NAVJEEVAN CHARITABLE TRUST, LATUR",20,20
198,Amravati,Buldana,359,2018-19,ANM,"HARSH SCHOOL OF NURSING, KHAMGAON, BULDANA",20,16
199,Nagpur,Gadchiroli,360,2018-19,ANM,"NAVJEEVAN NURSING SCHOOL, CHAMORSHI, GADCHIROLI",20,20
200,Konkan,Sindhudurg,362,2018-19,ANM,"BR. NATH PAI INSTITUTE OF NURSING, PINGULI, SINDHUDURGA",40,28
201,Chh. Sambhaji Nagar,Latur,363,2018-19,ANM,"BHIVRAI NURSING SCHOOL, LATUR",20,0
202,Chh. Sambhaji Nagar,Latur,364,2018-19,ANM,"BALVIKAS MAHILA MANDAL, SCHOOL OF NURSING, LATUR",20,0
203,Chh. Sambhaji Nagar,Parbhani,365,2018-19,ANM,"BHARATRATNA MOTHER TERSA NURSING SCHOOL, SELU, PARBHANI",20,20
204,Chh. Sambhaji Nagar,Dharashiv,366,2018-19,ANM,"SAI NURSING SCHOOL, OSMANABAD",20,0
205,Chh. Sambhaji Nagar,Parbhani,367,2018-19,ANM,"INSTITUTE OF NURSING EDUCATION,MANWATH, PARBHANI",20,19
206,Nashik,Jalgaon,368,2018-19,ANM,"DADASAHEB DR. SURESH G. PATIL COLLEGE OF NURSING , CHOPDA , JALGAON",20,20
207,Nashik,Ahilyanagar,370,2018-19,ANM,"BAHUJAN SAMAJ PRABODHAN SCHOOL OF NURSING, AKOLE, AHMEDNAGAR",20,2
208,Chh. Sambhaji Nagar,Latur,371,2018-19,ANM,"LATE MAHALINGE SWAMI NURSING SCHOOL, LATUR",20,20
209,Amravati,Amravati,372,2018-19,ANM,"SMT. VASUNDHARABAI GHUIKHEDKAR NURSING SCHOOL, AMRAVATI",30,30
210,Nagpur,Wardha,373,2018-19,ANM,"PARVATIBAI SCHOOL OF NURSING, WARDHA",30,17
211,Chh. Sambhaji Nagar,Parbhani,374,2018-19,ANM,"TIRUPATI NURSING SCHOOL,PARBHANI",40,40
212,Amravati,Yavatmal,377,2018-19,ANM,"SHRI SWAMI SAMARTH NURSING SCHOOL, YAVATMAL",20,20
213,Nagpur,Bhandara,378,2018-19,ANM,"POOJA NURSING INSTITUTE , BHANDARA",20,19
214,Amravati,Amravati,381,2018-19,ANM,"MELGHAT NURSING SCHOOL , PARATWADA , AMRAVATI",20,19
215,Chh. Sambhaji Nagar,Latur,383,2018-19,ANM,"RASTRAMATA JIJAU NURSING SCHOOL, NILANGA, LATUR",20,18
216,Chh. Sambhaji Nagar,Beed,385,2018-19,ANM,"RAGHUNATHRAO MUNDHE INSTITUTE OF NURSING, AMBEJOGAI, BEED",20,15
217,Pune,Satara,386,2018-19,ANM,"SHIVRASHTRA COLLEGE OF NURSING , KARAD , SATARA",20,20
218,Pune,Pune,393,2018-19,ANM,"JAY INSTITUTE OF NURSING , INDAPUR , PUNE",20,20
